S2_T,S2-H,S2_P,S3_T,S3_H,S3_P,S5_T,S5_H,S5_P,S6_T,S6_H,S6_P
-0.539562864,0.097802964,0.310983111,-0.31214446,-0.284343072,0.310983111,-0.207082271,-0.148256555,0.310983111,0.261453968,-0.66249877,0.129871883
-0.412387456,0.185588374,0.35540927,-0.316365004,-0.284414858,0.35540927,-0.304916415,-0.028057512,0.35540927,-0.052101905,-0.275807297,0.103897507
-0.459188006,0.168716704,0.33319619,-0.329026639,-0.282620216,0.33319619,-0.334266658,0.040475866,0.33319619,-0.142453848,-0.145231167,0.07792313
-0.722017183,0.166959238,0.310983111,-0.585776448,0.160656348,0.310983111,-0.425578526,0.096922931,0.310983111,-0.341102197,0.30953067,0.07792313
-0.770174271,0.351229513,0.244343873,-0.744046878,0.160943491,0.244343873,-0.520151531,0.162003076,0.244343873,-0.827806394,0.658709088,0.07792313
-0.595859178,0.248329898,0.155491555,-0.753894816,0.160225634,0.155491555,-0.62776909,0.541659393,0.155491555,-0.9257139,0.734166933,0.07792313
2.104329084,-2.667393513,0.222130794,1.619809925,-2.154072854,0.222130794,1.485448417,-1.740927091,0.222130794,0.899899059,-0.782377444,0.337666896
1.435216871,-2.471084598,0.288770032,1.847015921,-2.343371688,0.288770032,1.723511501,-2.185663553,0.288770032,0.686454399,-0.581092564,0.415590026
1.352468072,-1.795778417,0.310983111,0.786604038,-1.667796668,0.310983111,1.521320937,-1.928729796,0.310983111,0.881639781,-0.897938758,0.415590026
0.751182743,-1.114408978,0.310983111,0.45845668,-0.933931677,0.310983111,0.807131687,-0.937984196,0.310983111,0.821510091,-0.949986922,0.337666896
0.139384247,-0.398681086,0.266556952,0.251298272,-0.809168168,0.266556952,0.396228283,-0.625865132,0.266556952,0.527157941,-0.74927769,0.259743766
-0.155662699,-0.065817089,0.222130794,-0.141212395,-0.222463818,0.222130794,0.066853332,-0.364747651,0.222130794,0.352750357,-0.671085518,0.181820636
-0.259098698,-0.021792574,0.155491555,-0.231250684,-0.184919908,0.155491555,-0.180993166,-0.07215263,0.155491555,-0.119787158,-0.072411708,0.07792313
-0.314038474,-0.143233452,0.111065397,-0.396907068,0.161302419,0.111065397,-0.246215929,-0.022346397,0.111065397,-0.414139308,0.213109647,0.051948753
-0.366943444,0.156941684,0.088852317,-0.5639703,0.161087062,0.088852317,-0.334266658,0.216258666,0.088852317,-0.314657726,0.29643468,0.025974377
-0.443926957,0.26898012,0.066639238,-0.633257577,0.161230634,0.066639238,-0.451667631,0.440121085,0.066639238,-0.442787485,0.401490421,0.051948753
-0.488014432,0.285236677,0.066639238,-0.678628434,0.160728134,0.066639238,-0.595157708,0.588278028,0.066639238,-0.593269119,0.411276435,0.07792313
-0.570763231,0.366431591,0.088852317,-0.677573297,0.16079992,0.088852317,-0.712558681,0.69400006,0.088852317,-0.733676669,0.667775542,0.129871883
2.325105592,-2.249204558,2.443438729,1.174542448,-2.203030686,2.443438729,1.169118019,-1.823074172,2.443438729,1.376214356,-0.810967956,0.545461909
2.995235208,-3.472488534,2.42122565,1.288497158,-1.57124493,2.42122565,0.771259167,-1.01568192,2.42122565,0.984899145,-0.983326529,0.519487533
1.972405794,-2.397095294,2.021390221,1.625789031,-2.463469128,2.021390221,1.661549876,-2.253997705,2.021390221,1.58493679,-1.158851166,0.389615649
1.401642563,-2.019591669,1.532702476,1.529771636,-2.469355553,1.532702476,1.433270207,-1.997860848,1.532702476,0.931695388,-0.972293278,0.23376939
