S2_T,S2-H,S2_P,S3_T,S3_H,S3_P,S5_T,S5_H,S5_P,S4_T,S4_H,S4_P
-0.443926957,0.26898012,0.066639238,-0.633257577,0.161230634,0.066639238,-0.451667631,0.440121085,0.066639238,-0.261975897,0.527202402,0.066639238
-0.488014432,0.285236677,0.066639238,-0.678628434,0.160728134,0.066639238,-0.595157708,0.588278028,0.066639238,-0.415131037,0.528903002,0.066639238
-0.570763231,0.366431591,0.088852317,-0.677573297,0.16079992,0.088852317,-0.712558681,0.69400006,0.088852317,-0.471879047,0.528769621,0.088852317
2.325105592,-2.249204558,2.443438729,1.174542448,-2.203030686,2.443438729,1.169118019,-1.823074172,2.443438729,1.686802347,-1.046618728,2.443438729
2.995235208,-3.472488534,2.42122565,1.288497158,-1.57124493,2.42122565,0.771259167,-1.01568192,2.42122565,1.191869421,-0.611398732,2.42122565
1.972405794,-2.397095294,2.021390221,1.625789031,-2.463469128,2.021390221,1.661549876,-2.253997705,2.021390221,1.908957907,-1.058756338,2.021390221
1.401642563,-2.019591669,1.532702476,1.529771636,-2.469355553,1.532702476,1.433270207,-1.997860848,1.532702476,1.769667338,-1.128247487,1.532702476
0.327942985,-0.666079487,1.399423999,0.662449679,-1.360841107,1.399423999,0.921271521,-1.354430718,1.399423999,1.25022959,-0.864888037,1.399423999
-0.26927273,0.372319101,1.466063238,-0.254111969,0.161087062,1.466063238,0.154904061,-0.442578192,1.466063238,0.53443083,-0.441372164,1.466063238
-0.427309371,0.378645978,1.554915555,-0.534426486,0.160728134,1.554915555,-0.38318373,0.299468281,1.554915555,0.196844659,-0.194218424,1.554915555
-0.519214799,0.383215388,1.643767872,-0.615671974,0.160728134,1.643767872,-0.392967144,0.386197536,1.643767872,-0.034661426,0.090515222,1.643767872
-0.90514977,0.35755639,2.265734094,-0.827050926,0.160584563,2.265734094,-0.376661454,0.515760151,2.265734094,-0.28486856,0.528769621,2.265734094
-1.132030698,0.412652938,3.554092697,-0.841822833,0.160369206,3.554092697,-0.78430372,0.642334393,3.554092697,-0.282611537,0.529003037,3.554092697
