S7_T,S7_H,S7_P,S8_T,S8_H,S8_P,S9_T,S9_H,S9_P,S6_T,S6_H,S6_P
-0.677853958,1.00049148,0.066639238,-0.858323747,-0.11795357,0.051948753,-0.517980366,0.034980383,0.066639238,-0.442787485,0.401490421,0.051948753
-0.762647326,1.000428234,0.066639238,-1.180782453,0.679845912,0.07792313,-0.44178871,0.034980383,0.066639238,-0.593269119,0.411276435,0.07792313
-1.003552514,1.000175249,0.088852317,-1.134490835,0.829387667,0.129871883,-0.654388006,0.034980383,0.088852317,-0.733676669,0.667775542,0.129871883
1.019328025,-1.010990348,2.443438729,0.544272708,-0.444973452,0.545461909,1.268017574,-1.846900867,2.443438729,1.376214356,-0.810967956,0.545461909
0.567754042,-0.677809419,2.42122565,0.441006791,-0.622268988,0.519487533,0.96284132,-0.896627386,2.42122565,0.984899145,-0.983326529,0.519487533
0.912514674,-0.99783514,2.021390221,1.559523061,-1.257988822,0.389615649,1.070984315,-1.55831638,2.021390221,1.58493679,-1.158851166,0.389615649
0.987448348,-1.020287538,1.532702476,0.760695912,-0.046499756,0.23376939,0.614653649,-0.653343953,1.532702476,0.931695388,-0.972293278,0.23376939
0.654848005,-1.170623732,1.399423999,-0.304011298,0.863653848,0.207795013,0.756386513,-0.179465575,1.399423999,0.54856537,-0.746927128,0.207795013
0.182568666,-0.168551096,1.466063238,-0.67513555,0.954705727,0.207795013,-0.228370149,0.035399837,1.466063238,-0.012435198,-0.245825636,0.207795013
-0.469157103,0.469413223,1.554915555,-0.930332931,0.334323509,0.15584626,-0.248442145,-0.032971197,1.554915555,-0.435231922,0.358172917,0.15584626
-0.244684738,0.197138374,1.643767872,-1.147547445,0.2660346,0.15584626,-0.461451073,0.034980383,1.643767872,-0.506065327,0.413579026,0.15584626
-0.40342581,0.667626782,2.265734094,-0.895119649,-0.021667426,0.285718143,-0.517161101,0.034560928,2.265734094,-0.374157786,0.205626225,0.285718143
-0.719921985,1.000554727,3.554092697,-0.807679926,-0.196954465,0.675333792,-1.310209727,0.033617157,3.554092697,-0.864324949,0.570299166,0.675333792
-0.665036356,1.000807711,3.4430273,-1.172473701,0.204562409,0.701308169,-0.69985722,0.034665792,3.4430273,-1.047862172,0.657701704,0.701308169
-0.89148066,1.000301742,2.75442184,-1.314513793,0.387213938,0.623385039,-1.562953013,0.032568521,2.75442184,-1.335288389,0.752731577,0.623385039
1.668095885,-1.520691394,0.8,1.801268177,-1.215140879,0.6,1.48389393,-2.035130938,0.8,2.065659498,-1.274892188,6.103978507
1.311174965,-1.089036146,0.9,1.055063123,-0.152645796,0.5,1.556398892,-1.977560849,0.9,1.555344167,-1.052068482,5.740337234
0.889180065,-1.224952209,0.9,0.391945589,0.049908115,5.194875325,0.749832392,-1.538392306,0.12,1.20904752,-1.01402775,5.194875325
0.709404979,-1.377312281,0.9,0.729439179,-0.992623722,4.857208429,0.863300609,-1.567124919,0.12,0.239416909,-0.134006033,4.857208429
-0.199987459,0.559159566,0.9,-0.192040974,0.955679544,4.38966965,0.542967951,-0.659426039,0.12,0.151583487,-0.132950678,4.38966965
-0.20261671,0.36885178,0.8,-0.017161529,0.169078956,4.259797767,-0.01044563,0.035399837,0.9,-0.163546462,0.07332315,4.259797767
-0.116508717,0.460938233,0.8,-0.278689387,-0.477231136,4.31174652,-0.221406396,0.035294973,0.9,0.178657588,-0.417704503,4.31174652
-0.227923258,0.893668665,0.8,-0.300450404,-0.373702229,4.805259676,-0.207069256,0.0355047,0.9,-0.238787279,-0.023961344,4.805259676
-0.440563991,1.000870958,0.8,-0.478495088,-0.209188039,5.039029065,-0.147262903,0.03519011,0.9,-0.313713281,0.046027846,5.039029065
-0.496764246,1.000744465,0.8,-0.827858324,0.22872524,5.246824078,-0.308248498,0.0355047,0.9,-0.538806101,0.346276194,5.246824078
-0.473758294,1.001060696,0.8,-0.619348216,0.057029151,5.376695962,-0.323404902,0.034560928,0.9,-0.644269171,0.667871484,5.376695962
-0.55592241,1.000681219,0.9,-0.827858324,0.363781469,4.909157182,-0.410656636,0.034770656,0.9,-0.686139583,0.71718532,4.909157182
1.51428466,-1.336581734,-0.066639238,2.31918038,-1.639603313,-0.07792313,1.515845269,-0.312537419,-0.066639238,1.107047417,-0.424468366,-0.07792313
1.401884149,-1.799860076,-0.044426159,1.320151875,-1.41288657,-0.051948753,1.571145664,-0.148321101,-0.044426159,1.688825784,-1.111600068,-0.051948753
2.261978117,-2.128171049,-0.022213079,2.001469533,-1.295359045,-0.025974377,1.403605949,-1.833058879,-0.022213079,1.785159214,-1.440390957,-0.025974377
1.125484063,-1.500895336,-0.022213079,0.726669595,0.313751627,-0.025974377,1.653481808,-2.218012967,-0.022213079,1.249973488,-1.223707496,-0.025974377
0.837909656,-1.653318654,0,-0.345950712,0.955192635,0,0.997660087,-0.937104716,0,0.988362112,-1.168205445,0
